# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772303640254000000,1772303700334000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772303640254000000,1772303700334000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772303640254000000,1772303700334000000,0
jps.artifact.entities.serializer.load.entities.ms,1772303640254000000,1772303700334000000,1
jps.global.handle.before.change.events.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772303640254000000,1772303700334000000,0
jps.global.get.library.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772303640254000000,1772303700334000000,10
jps.global.initialize.library.bridges.ms,1772303640254000000,1772303700334000000,22
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772303640254000000,1772303700334000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772303640254000000,1772303700334000000,0
workspaceModel.sync.entities.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772303640254000000,1772303700334000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772303640254000000,1772303700334000000,0
jps.project.serializers.save.ms,1772303640254000000,1772303700334000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772303640254000000,1772303700334000000,0
workspaceModel.global.updates.count,1772303640254000000,1772303700334000000,1
jps.load.project.to.empty.storage.ms,1772303640254000000,1772303700334000000,67
jps.module.iml.entities.serializer.load.entities.ms,1772303640254000000,1772303700334000000,110
workspaceModel.orphan.listener.update.ms,1772303640254000000,1772303700334000000,1
jps.save.changed.project.entities.ms,1772303640254000000,1772303700334000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1772303640254000000,1772303700334000000,127
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772303640254000000,1772303700334000000,1
workspaceModel.save.cache.to.file.ms,1772303640254000000,1772303700334000000,210
workspaceModel.mutableEntityStorage.modify.entity.ms,1772303640254000000,1772303700334000000,10
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772303640254000000,1772303700334000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772303640254000000,1772303700334000000,46
jps.apply.loaded.storage.ms,1772303640254000000,1772303700334000000,58
jps.facet.change.listener.before.change.events.ms,1772303640254000000,1772303700334000000,0
workspaceModel.global.updates.ms,1772303640254000000,1772303700334000000,3
jps.global.get.library.by.name.ms,1772303640254000000,1772303700334000000,0
jps.library.entities.serializer.save.entities.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772303640254000000,1772303700334000000,0
workspaceModel.moduleBridge.update.option.ms,1772303640254000000,1772303700334000000,0
jps.project.serializers.load.ms,1772303640254000000,1772303700334000000,42
jps.global.handle.changed.events.ms,1772303640254000000,1772303700334000000,0
jps.storage.jps.conf.reader.load.component.ms,1772303640254000000,1772303700334000000,9
jps.facet.change.listener.init.bridge.ms,1772303640254000000,1772303700334000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772303640254000000,1772303700334000000,21
workspaceModel.moduleBridge.facet.initialization.ms,1772303640254000000,1772303700334000000,54
workspaceModel.global.apply.state.to.project.builder.ms,1772303640254000000,1772303700334000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772303640254000000,1772303700334000000,245
jps.reload.project.entities.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772303640254000000,1772303700334000000,26
jps.app.storage.content.reader.load.component.ms,1772303640254000000,1772303700334000000,4
workspaceModel.mutableEntityStorage.collect.changes.ms,1772303640254000000,1772303700334000000,2
workspaceModel.load.cache.from.file.ms,1772303640254000000,1772303700334000000,337
workspaceModel.mutableEntityStorage.instances.count,1772303640254000000,1772303700334000000,64
jps.global.get.libraries.ms,1772303640254000000,1772303700334000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772303640254000000,1772303700334000000,14
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772303640254000000,1772303700334000000,0
