# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
lexer.JAVA.size.bytes,1772371022291000000,1772371082301000000,19419392
writeAction.median.wait.ms,1772371022291000000,1772371082301000000,200
lexer.JAVA.time.ns,1772371022291000000,1772371082301000000,19572253
DiskQueryRelay.taskWaitingTotalTimeUs,1772371022291000000,1772371082301000000,5684149
DiskQueryRelay.tasksExecuted,1772371022291000000,1772371082301000000,11279
writeAction.max.wait.ms,1772371022291000000,1772371082301000000,127
parser.JAVA.time.ns,1772371022291000000,1772371082301000000,4210642874
parser.XML.size.bytes,1772371022291000000,1772371082301000000,1707
writeAction.wait.ms,1772371022291000000,1772371082301000000,341
DiskQueryRelay.taskExecutionTotalTimeUs,1772371022291000000,1772371082301000000,4134294
parser.XML.time.ns,1772371022291000000,1772371082301000000,4263667
lexer.XML.time.ns,1772371022291000000,1772371082301000000,546541
lexer.XML.size.bytes,1772371022291000000,1772371082301000000,1707
parser.JAVA.size.bytes,1772371022291000000,1772371082301000000,19622536
DiskQueryRelay.tasksRequested,1772371022291000000,1772371082301000000,11431
writeAction.count,1772371022291000000,1772371082301000000,39
JVM.usedNativeBytes,1772371022291000000,1772371082301000000,562743920
JVM.totalTimeAtSafepointsMs,1772371022291000000,1772371082301000000,595
JVM.committedHeapBytes,1772371022291000000,1772371082301000000,601882624
JVM.totalDirectByteBuffersBytes,1772371022291000000,1772371082301000000,16953232
JVM.totalTimeToSafepointsMs,1772371022291000000,1772371082301000000,82
JVM.totalCpuTimeMs,1772371022291000000,1772371082301000000,83571
JVM.totalBytesAllocated,1772371022291000000,1772371082301000000,4214890088
MEM.ramMinusFileMappingsBytes,1772371022291000000,1772371082301000000,842399744
OS.loadAverage,1772371022291000000,1772371082301000000,2.796875
JVM.GC.collections,1772371022291000000,1772371082301000000,53
JVM.newThreadsCount,1772371022291000000,1772371082301000000,232
JVM.usedHeapBytes,1772371022291000000,1772371082301000000,364146952
JVM.threadCount,1772371022291000000,1772371082301000000,172
MEM.fileMappingsRamBytes,1772371022291000000,1772371082301000000,598933504
MEM.ramBytes,1772371022291000000,1772371082301000000,1454981120
JVM.maxHeapBytes,1772371022291000000,1772371082301000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1772371022291000000,1772371082301000000,1600386880
JVM.GC.collectionTimesMs,1772371022291000000,1772371082301000000,538
JVM.maxThreadCount,1772371022291000000,1772371082301000000,174
JVM.totalSafepointCount,1772371022291000000,1772371082301000000,560
compiler.ArtifactManagerBridge.getArtifacts.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.commit.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772371022291000000,1772371082301000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772371022291000000,1772371082301000000,0
VFS.fileByIdCache.misses,1772371022291000000,1772371082301000000,664632
FileNameCache.totalMisses,1772371022291000000,1772371082301000000,211456
VFS.contentStorage.recordsStoredCompressed,1772371022291000000,1772371082301000000,0
VFS.contentStorage.recordsStored,1772371022291000000,1772371082301000000,0
VFS.fileChildByName,1772371022291000000,1772371082301000000,71591
VFS.fileByIdCache.hits,1772371022291000000,1772371082301000000,0
FileNameCache.queries,1772371022291000000,1772371082301000000,3118784
VFS.contentStorage.recordsUncompressedSize,1772371022291000000,1772371082301000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772371022291000000,1772371082301000000,119963
VFS.contentStorage.recordsRead,1772371022291000000,1772371082301000000,168
VFS.folderCaseSensitivityReads,1772371022291000000,1772371082301000000,0
VFS.contentStorage.recordsReadDecompressed,1772371022291000000,1772371082301000000,38
VFS.invertedFileNameIndex.requests,1772371022291000000,1772371082301000000,4
VFS.contentStorage.recordsStoredSize,1772371022291000000,1772371082301000000,0
VFS.contentStorage.recordsDeduplicated,1772371022291000000,1772371082301000000,0
VFS.contentStorage.recordsReadSize,1772371022291000000,1772371082301000000,3901414
jps.save.changed.project.entities.ms,1772371022291000000,1772371082301000000,41
jps.reload.project.entities.ms,1772371022291000000,1772371082301000000,0
jps.facet.change.listener.process.change.events.ms,1772371022291000000,1772371082301000000,1
jps.library.entities.serializer.save.entities.ms,1772371022291000000,1772371082301000000,0
jps.load.initial.state.ms,1772371022291000000,1772371082301000000,14
workspaceModel.sync.entities.ms,1772371022291000000,1772371082301000000,0
jps.library.entities.serializer.load.entities.ms,1772371022291000000,1772371082301000000,15
workspaceModel.moduleManagerBridge.get.modules.ms,1772371022291000000,1772371082301000000,0
jps.storage.jps.conf.reader.load.component.ms,1772371022291000000,1772371082301000000,21
workspaceModel.moduleBridge.facet.initialization.ms,1772371022291000000,1772371082301000000,52
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772371022291000000,1772371082301000000,19
workspaceModel.mutableEntityStorage.put.entity.ms,1772371022291000000,1772371082301000000,11
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772371022291000000,1772371082301000000,46
jps.app.storage.content.reader.load.component.ms,1772371022291000000,1772371082301000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772371022291000000,1772371082301000000,0
workspaceModel.global.apply.state.to.project.ms,1772371022291000000,1772371082301000000,12
workspaceModel.save.cache.to.file.ms,1772371022291000000,1772371082301000000,573
jps.app.storage.content.writer.save.component.ms,1772371022291000000,1772371082301000000,26
jps.module.iml.entities.serializer.load.entities.ms,1772371022291000000,1772371082301000000,124
workspaceModel.global.updates.count,1772371022291000000,1772371082301000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772371022291000000,1772371082301000000,0
workspaceModel.load.cache.from.file.ms,1772371022291000000,1772371082301000000,173
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772371022291000000,1772371082301000000,0
jps.global.get.libraries.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772371022291000000,1772371082301000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772371022291000000,1772371082301000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772371022291000000,1772371082301000000,0
workspaceModel.do.save.caches.ms,1772371022291000000,1772371082301000000,503
jps.global.initialize.library.bridges.ms,1772371022291000000,1772371082301000000,1
workspaceModel.mutableEntityStorage.instances.count,1772371022291000000,1772371082301000000,63
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772371022291000000,1772371082301000000,118
jps.project.serializers.save.ms,1772371022291000000,1772371082301000000,40
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772371022291000000,1772371082301000000,1
jps.global.get.library.by.name.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772371022291000000,1772371082301000000,3
jps.load.project.to.empty.storage.ms,1772371022291000000,1772371082301000000,65
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772371022291000000,1772371082301000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772371022291000000,1772371082301000000,10
workspaceModel.global.updates.ms,1772371022291000000,1772371082301000000,6
jps.facet.change.listener.before.change.events.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772371022291000000,1772371082301000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1772371022291000000,1772371082301000000,26375
jps.global.handle.before.change.events.ms,1772371022291000000,1772371082301000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772371022291000000,1772371082301000000,17
workspaceModel.moduleManagerBridge.load.module.ms,1772371022291000000,1772371082301000000,0
jps.save.global.entities.ms,1772371022291000000,1772371082301000000,52
workspaceModel.mutableEntityStorage.add.entity.ms,1772371022291000000,1772371082301000000,35
workspaceModel.mutableEntityStorage.collect.changes.ms,1772371022291000000,1772371082301000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772371022291000000,1772371082301000000,1
jps.facet.change.listener.init.bridge.ms,1772371022291000000,1772371082301000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1772371022291000000,1772371082301000000,1
workspaceModel.moduleBridge.before.changed.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772371022291000000,1772371082301000000,0
jps.artifact.entities.serializer.save.entities.ms,1772371022291000000,1772371082301000000,0
jps.global.initialize.library.bridges.after.loading.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772371022291000000,1772371082301000000,14
jps.project.serializers.load.ms,1772371022291000000,1772371082301000000,45
jps.global.get.library.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772371022291000000,1772371082301000000,0
workspaceModel.orphan.listener.update.ms,1772371022291000000,1772371082301000000,2
jps.apply.loaded.storage.ms,1772371022291000000,1772371082301000000,26303
jps.module.iml.entities.serializer.save.entities.ms,1772371022291000000,1772371082301000000,28
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772371022291000000,1772371082301000000,2
workspaceModel.mutableEntityStorage.resolve.ms,1772371022291000000,1772371082301000000,0
jps.artifact.entities.serializer.load.entities.ms,1772371022291000000,1772371082301000000,8
jps.global.handle.changed.events.ms,1772371022291000000,1772371082301000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772371022291000000,1772371082301000000,0
workspaceModel.moduleBridge.update.option.ms,1772371022291000000,1772371082301000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772371022291000000,1772371082301000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772371022291000000,1772371082301000000,0
ReadAction.executionsCount,1772371022291000000,1772371082301000000,277515
WriteAction.executionsCount,1772371022291000000,1772371082301000000,39
NonBlockingReadAction.failedExecutionTimeUs,1772371022291000000,1772371082301000000,16778
NonBlockingReadAction.failedExecutionsCount,1772371022291000000,1772371082301000000,4
NonBlockingReadAction.finalizedExecutionsCount,1772371022291000000,1772371082301000000,87
NonBlockingReadAction.finalizedExecutionTimeUs,1772371022291000000,1772371082301000000,737132
FilePageCache.pageFastCacheHits,1772371022291000000,1772371082301000000,7496
FilePageCache.disposedBuffers,1772371022291000000,1772371082301000000,216
FilePageCache.pageLoadsAboveSizeThreshold,1772371022291000000,1772371082301000000,0
MappedFileStorage.totalPagesMapped,1772371022291000000,1772371082301000000,15
DirectByteBufferAllocator.disposed,1772371022291000000,1772371082301000000,213
MappedFileStorage.totalBytesMapped,1772371022291000000,1772371082301000000,198443008
MappedFileStorage.storages,1772371022291000000,1772371082301000000,14
StorageLockContext.competingThreads.max,1772371022291000000,1772371082301000000,0
StorageLockContext.competingThreads.90P,1772371022291000000,1772371082301000000,0
DirectByteBufferAllocator.reclaimed,1772371022291000000,1772371082301000000,48
FilePageCache.totalPageDisposalsUs,1772371022291000000,1772371082301000000,429
FilePageCache.maxRegisteredFiles,1772371022291000000,1772371082301000000,449
StreamlinedBlobStorage.recordsDeleted,1772371022291000000,1772371082301000000,20
