# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1772304242159000000,1772304302265000000,300
lexer.JAVA.size.bytes,1772304242159000000,1772304302265000000,19325216
DiskQueryRelay.taskWaitingTotalTimeUs,1772304242159000000,1772304302265000000,4352091
writeAction.wait.ms,1772304242159000000,1772304302265000000,389
DiskQueryRelay.tasksExecuted,1772304242159000000,1772304302265000000,10031
lexer.XML.time.ns,1772304242159000000,1772304302265000000,2150209
parser.JAVA.time.ns,1772304242159000000,1772304302265000000,4015638045
lexer.JAVA.time.ns,1772304242159000000,1772304302265000000,21785546
writeAction.count,1772304242159000000,1772304302265000000,61
lexer.XML.size.bytes,1772304242159000000,1772304302265000000,2512
parser.JAVA.size.bytes,1772304242159000000,1772304302265000000,19824402
DiskQueryRelay.taskExecutionTotalTimeUs,1772304242159000000,1772304302265000000,3384601
DiskQueryRelay.tasksRequested,1772304242159000000,1772304302265000000,10211
writeAction.max.wait.ms,1772304242159000000,1772304302265000000,116
parser.XML.size.bytes,1772304242159000000,1772304302265000000,2512
parser.XML.time.ns,1772304242159000000,1772304302265000000,11482625
VFS.contentStorage.recordsReadDecompressed,1772304242159000000,1772304302265000000,38
VFS.contentStorage.recordsStoredCompressed,1772304242159000000,1772304302265000000,0
VFS.fileByIdCache.misses,1772304242159000000,1772304302265000000,791413
VFS.invertedFileNameIndex.requests,1772304242159000000,1772304302265000000,28
VFS.contentStorage.recordsRead,1772304242159000000,1772304302265000000,287
VFS.contentStorage.recordsDecompressionTimeUs,1772304242159000000,1772304302265000000,65252
VFS.contentStorage.recordsReadSize,1772304242159000000,1772304302265000000,4515560
VFS.fileByIdCache.hits,1772304242159000000,1772304302265000000,0
VFS.folderCaseSensitivityReads,1772304242159000000,1772304302265000000,5
VFS.contentStorage.recordsStoredSize,1772304242159000000,1772304302265000000,479
VFS.fileChildByName,1772304242159000000,1772304302265000000,144120
VFS.contentStorage.recordsStored,1772304242159000000,1772304302265000000,1
VFS.contentStorage.recordsDeduplicated,1772304242159000000,1772304302265000000,16
VFS.contentStorage.recordsUncompressedSize,1772304242159000000,1772304302265000000,479
FileNameCache.queries,1772304242159000000,1772304302265000000,3306880
FileNameCache.totalMisses,1772304242159000000,1772304302265000000,200960
compiler.ArtifactManagerBridge.getArtifacts.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.commit.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772304242159000000,1772304302265000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772304242159000000,1772304302265000000,0
Indexes.entries.lookupDuration90PMs,1772304242159000000,1772304302265000000,0.0
Indexing.cache.totalCacheEvicted,1772304242159000000,1772304302265000000,6509
Indexes.stubs.lookups,1772304242159000000,1772304302265000000,24317
Indexing.writer_2.totalTimeSpentWritingMs,1772304242159000000,1772304302265000000,0
Indexing.writesQueuedMax,1772304242159000000,1772304302265000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1772304242159000000,1772304302265000000,0
Indexing.cache.totalCacheMisses,1772304242159000000,1772304302265000000,6509
Indexes.allKeys.lookupDurationMaxMs,1772304242159000000,1772304302265000000,0.0
Indexing.cache.totalCacheAccesses,1772304242159000000,1772304302265000000,34234
Indexing.totalTimeIndexersSleptMs,1772304242159000000,1772304302265000000,0
Indexes.stubs.lookupDuration90PMs,1772304242159000000,1772304302265000000,0.0
Indexes.entries.lookups,1772304242159000000,1772304302265000000,6167
Indexes.entries.lookupDurationMaxMs,1772304242159000000,1772304302265000000,0.0
Indexes.stubs.lookupDurationAvgMs,1772304242159000000,1772304302265000000,0.0
Indexes.entries.lookupDurationAvgMs,1772304242159000000,1772304302265000000,0.0
Indexes.stubs.lookupDurationMaxMs,1772304242159000000,1772304302265000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1772304242159000000,1772304302265000000,0.0
Indexes.allKeys.lookups,1772304242159000000,1772304302265000000,8
Indexing.writesQueuedMin,1772304242159000000,1772304302265000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1772304242159000000,1772304302265000000,0
Indexes.allKeys.lookupDuration90PMs,1772304242159000000,1772304302265000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1772304242159000000,1772304302265000000,0
MappedFileStorage.totalBytesMapped,1772304242159000000,1772304302265000000,198443008
MappedFileStorage.totalPagesMapped,1772304242159000000,1772304302265000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772304242159000000,1772304302265000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772304242159000000,1772304302265000000,15588512
DirectByteBufferAllocator.misses,1772304242159000000,1772304302265000000,282
DirectByteBufferAllocator.hits,1772304242159000000,1772304302265000000,3
DirectByteBufferAllocator.disposed,1772304242159000000,1772304302265000000,0
DirectByteBufferAllocator.reclaimed,1772304242159000000,1772304302265000000,3
FilePageCache.capacityInBytes,1772304242159000000,1772304302265000000,629145600
FilePageCache.pageHits,1772304242159000000,1772304302265000000,156
FilePageCache.uncachedFileAccess,1772304242159000000,1772304302265000000,167
FilePageCache.maxCacheSizeInBytes,1772304242159000000,1772304302265000000,290496512
FilePageCache.disposedBuffers,1772304242159000000,1772304302265000000,3
StreamlinedBlobStorage.recordsRelocated,1772304242159000000,1772304302265000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772304242159000000,1772304302265000000,290496512
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772304242159000000,1772304302265000000,3164829
MappedFileStorage.storages,1772304242159000000,1772304302265000000,14
FilePageCache.totalPageDisposalsUs,1772304242159000000,1772304302265000000,488
StorageLockContext.competingThreads.90P,1772304242159000000,1772304302265000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772304242159000000,1772304302265000000,0
FilePageCache.totalPageLoadsUs,1772304242159000000,1772304302265000000,348881
FilePageCache.pageLoads,1772304242159000000,1772304302265000000,285
StorageLockContext.competingThreads.avg,1772304242159000000,1772304302265000000,0.0
StreamlinedBlobStorage.recordsAllocated,1772304242159000000,1772304302265000000,217363
StorageLockContext.competingThreads.max,1772304242159000000,1772304302265000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772304242159000000,1772304302265000000,13970
FilePageCache.pageFastCacheHits,1772304242159000000,1772304302265000000,11784
StreamlinedBlobStorage.recordsDeleted,1772304242159000000,1772304302265000000,20
FilePageCache.maxRegisteredFiles,1772304242159000000,1772304302265000000,449
FilePageCache.pageLoadsAboveSizeThreshold,1772304242159000000,1772304302265000000,0
WriteAction.executionsCount,1772304242159000000,1772304302265000000,61
NonBlockingReadAction.failedExecutionTimeUs,1772304242159000000,1772304302265000000,805314
NonBlockingReadAction.failedExecutionsCount,1772304242159000000,1772304302265000000,14
ReadAction.executionsCount,1772304242159000000,1772304302265000000,306825
NonBlockingReadAction.finalizedExecutionTimeUs,1772304242159000000,1772304302265000000,645001
NonBlockingReadAction.finalizedExecutionsCount,1772304242159000000,1772304302265000000,300
cacheStateStorage.get.duration,1772304242159000000,1772304302265000000,372
cacheStateStorage.get.counter,1772304242159000000,1772304302265000000,60
cacheStateStorage.set.duration,1772304242159000000,1772304302265000000,8
cacheStateStorage.set.counter,1772304242159000000,1772304302265000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.cachedValue.total.get.count,1772304242159000000,1772304302265000000,14141
workspaceModel.full.replace.project.model.ms,1772304242159000000,1772304302265000000,8
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772304242159000000,1772304302265000000,3860
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772304242159000000,1772304302265000000,0
workspaceModel.initializing.ms,1772304242159000000,1772304302265000000,27
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772304242159000000,1772304302265000000,237
workspaceModel.loading.total.ms,1772304242159000000,1772304302265000000,226
workspaceModel.init.bridges.ms,1772304242159000000,1772304302265000000,28
workspaceModel.cachedValueWithParameters.from.cache.count,1772304242159000000,1772304302265000000,0
workspaceModel.to.snapshot.ms,1772304242159000000,1772304302265000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1772304242159000000,1772304302265000000,32
workspaceModel.cachedValueWithParameters.clear.count,1772304242159000000,1772304302265000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772304242159000000,1772304302265000000,0
workspaceModel.cachedValue.clear.count,1772304242159000000,1772304302265000000,0
workspaceModel.updates.ms,1772304242159000000,1772304302265000000,109
workspaceModel.cachedValueWithParameters.total.get.count,1772304242159000000,1772304302265000000,0
workspaceModel.updates.count,1772304242159000000,1772304302265000000,11
workspaceModel.check.recursive.update.ms,1772304242159000000,1772304302265000000,1
workspaceModel.on.before.changed.ms,1772304242159000000,1772304302265000000,18
workspaceModel.loading.from.cache.ms,1772304242159000000,1772304302265000000,220
workspaceModel.cachedValueWithParameters.calculated.count,1772304242159000000,1772304302265000000,0
workspaceModel.updates.precise.ms,1772304242159000000,1772304302265000000,42
workspaceModel.cachedValue.calculated.count,1772304242159000000,1772304302265000000,737
workspaceModel.on.changed.ms,1772304242159000000,1772304302265000000,23
workspaceModel.update.unloaded.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1772304242159000000,1772304302265000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772304242159000000,1772304302265000000,155
workspaceModel.collect.changes.ms,1772304242159000000,1772304302265000000,0
workspaceModel.cachedValue.from.cache.count,1772304242159000000,1772304302265000000,13404
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772304242159000000,1772304302265000000,500
workspaceModel.replace.project.model.ms,1772304242159000000,1772304302265000000,0
workspaceModel.pre.handlers.ms,1772304242159000000,1772304302265000000,0
workspaceModel.workspaceFileIndexData.instances.count,1772304242159000000,1772304302265000000,1
workspaceModel.workspaceFileIndexData.init.ms,1772304242159000000,1772304302265000000,79
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772304242159000000,1772304302265000000,59
workspaceModel.mutableEntityStorage.add.entity.ms,1772304242159000000,1772304302265000000,20
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772304242159000000,1772304302265000000,67
workspaceModel.load.cache.metadata.from.file.ms,1772304242159000000,1772304302265000000,26
jps.global.initialize.library.bridges.ms,1772304242159000000,1772304302265000000,23
workspaceModel.moduleBridge.facet.initialization.ms,1772304242159000000,1772304302265000000,52
jps.module.iml.entities.serializer.save.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772304242159000000,1772304302265000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772304242159000000,1772304302265000000,0
workspaceModel.orphan.listener.update.ms,1772304242159000000,1772304302265000000,1
jps.library.entities.serializer.save.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772304242159000000,1772304302265000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1772304242159000000,1772304302265000000,4
jps.save.global.entities.ms,1772304242159000000,1772304302265000000,0
jps.save.changed.project.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.sync.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.instances.count,1772304242159000000,1772304302265000000,64
workspaceModel.global.updates.count,1772304242159000000,1772304302265000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleBridge.before.changed.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772304242159000000,1772304302265000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1772304242159000000,1772304302265000000,10
workspaceModel.save.cache.to.file.ms,1772304242159000000,1772304302265000000,115
jps.app.storage.content.reader.load.component.ms,1772304242159000000,1772304302265000000,2
jps.reload.project.entities.ms,1772304242159000000,1772304302265000000,0
workspaceModel.global.updates.ms,1772304242159000000,1772304302265000000,3
jps.project.serializers.save.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772304242159000000,1772304302265000000,0
jps.library.entities.serializer.load.entities.ms,1772304242159000000,1772304302265000000,10
workspaceModel.moduleManagerBridge.get.modules.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772304242159000000,1772304302265000000,19
jps.apply.loaded.storage.ms,1772304242159000000,1772304302265000000,72
jps.module.iml.entities.serializer.load.entities.ms,1772304242159000000,1772304302265000000,107
jps.artifact.entities.serializer.load.entities.ms,1772304242159000000,1772304302265000000,1
jps.load.project.to.empty.storage.ms,1772304242159000000,1772304302265000000,68
workspaceModel.delayed.project.synchronizer.sync.ms,1772304242159000000,1772304302265000000,143
workspaceModel.do.save.caches.ms,1772304242159000000,1772304302265000000,120
jps.global.handle.before.change.events.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772304242159000000,1772304302265000000,11
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772304242159000000,1772304302265000000,0
workspaceModel.global.apply.state.to.project.ms,1772304242159000000,1772304302265000000,9
workspaceModel.moduleBridge.update.option.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772304242159000000,1772304302265000000,1
jps.artifact.entities.serializer.save.entities.ms,1772304242159000000,1772304302265000000,0
jps.project.serializers.load.ms,1772304242159000000,1772304302265000000,44
jps.facet.change.listener.before.change.events.ms,1772304242159000000,1772304302265000000,0
jps.global.get.libraries.ms,1772304242159000000,1772304302265000000,0
jps.facet.change.listener.process.change.events.ms,1772304242159000000,1772304302265000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1772304242159000000,1772304302265000000,0
jps.load.initial.state.ms,1772304242159000000,1772304302265000000,10
jps.global.initialize.library.bridges.after.loading.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1772304242159000000,1772304302265000000,0
jps.global.get.library.ms,1772304242159000000,1772304302265000000,0
jps.facet.change.listener.init.bridge.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772304242159000000,1772304302265000000,0
jps.storage.jps.conf.reader.load.component.ms,1772304242159000000,1772304302265000000,10
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772304242159000000,1772304302265000000,242
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772304242159000000,1772304302265000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772304242159000000,1772304302265000000,2
workspaceModel.load.cache.from.file.ms,1772304242159000000,1772304302265000000,219
jps.global.handle.changed.events.ms,1772304242159000000,1772304302265000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772304242159000000,1772304302265000000,0
jps.global.get.library.by.name.ms,1772304242159000000,1772304302265000000,0
OS.loadAverage,1772304242159000000,1772304302265000000,2.5380859375
JVM.totalTimeToSafepointsMs,1772304242159000000,1772304302265000000,146
JVM.maxHeapBytes,1772304242159000000,1772304302265000000,2147483648
JVM.totalSafepointCount,1772304242159000000,1772304302265000000,639
JVM.GC.collections,1772304242159000000,1772304302265000000,52
JVM.newThreadsCount,1772304242159000000,1772304302265000000,229
JVM.totalBytesAllocated,1772304242159000000,1772304302265000000,4606795992
JVM.usedHeapBytes,1772304242159000000,1772304302265000000,538101536
MEM.ramMinusFileMappingsBytes,1772304242159000000,1772304302265000000,1240317952
JVM.totalCpuTimeMs,1772304242159000000,1772304302265000000,88420
JVM.totalDirectByteBuffersBytes,1772304242159000000,1772304302265000000,302376181
JVM.committedHeapBytes,1772304242159000000,1772304302265000000,763363328
MEM.ramPlusSwapMinusFileMappingsBytes,1772304242159000000,1772304302265000000,2142173824
JVM.totalTimeAtSafepointsMs,1772304242159000000,1772304302265000000,473
JVM.GC.collectionTimesMs,1772304242159000000,1772304302265000000,438
MEM.fileMappingsRamBytes,1772304242159000000,1772304302265000000,621150208
JVM.maxThreadCount,1772304242159000000,1772304302265000000,189
JVM.usedNativeBytes,1772304242159000000,1772304302265000000,638933032
JVM.threadCount,1772304242159000000,1772304302265000000,167
MEM.ramBytes,1772304242159000000,1772304302265000000,1863335936
writeAction.median.wait.ms,1772304302265000000,1772304362247000000,300
DiskQueryRelay.taskWaitingTotalTimeUs,1772304302265000000,1772304362247000000,1798301
writeAction.wait.ms,1772304302265000000,1772304362247000000,0
DiskQueryRelay.tasksExecuted,1772304302265000000,1772304362247000000,4030
writeAction.count,1772304302265000000,1772304362247000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1772304302265000000,1772304362247000000,1796205
DiskQueryRelay.tasksRequested,1772304302265000000,1772304362247000000,4030
writeAction.max.wait.ms,1772304302265000000,1772304362247000000,116
VFS.contentStorage.recordsReadDecompressed,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsStoredCompressed,1772304302265000000,1772304362247000000,0
VFS.fileByIdCache.misses,1772304302265000000,1772304362247000000,0
VFS.invertedFileNameIndex.requests,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsRead,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsReadSize,1772304302265000000,1772304362247000000,0
VFS.fileByIdCache.hits,1772304302265000000,1772304362247000000,0
VFS.folderCaseSensitivityReads,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsStoredSize,1772304302265000000,1772304362247000000,0
VFS.fileChildByName,1772304302265000000,1772304362247000000,8
VFS.contentStorage.recordsStored,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsDeduplicated,1772304302265000000,1772304362247000000,0
VFS.contentStorage.recordsUncompressedSize,1772304302265000000,1772304362247000000,0
FileNameCache.queries,1772304302265000000,1772304362247000000,92544
FileNameCache.totalMisses,1772304302265000000,1772304362247000000,2112
compiler.ArtifactManagerBridge.getArtifacts.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.commit.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772304302265000000,1772304362247000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772304302265000000,1772304362247000000,0
Indexes.entries.lookupDuration90PMs,1772304302265000000,1772304362247000000,0.0
Indexing.cache.totalCacheEvicted,1772304302265000000,1772304362247000000,0
Indexes.stubs.lookups,1772304302265000000,1772304362247000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1772304302265000000,1772304362247000000,0
Indexing.writesQueuedMax,1772304302265000000,1772304362247000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1772304302265000000,1772304362247000000,0
Indexing.cache.totalCacheMisses,1772304302265000000,1772304362247000000,0
Indexes.allKeys.lookupDurationMaxMs,1772304302265000000,1772304362247000000,0.0
Indexing.cache.totalCacheAccesses,1772304302265000000,1772304362247000000,0
Indexing.totalTimeIndexersSleptMs,1772304302265000000,1772304362247000000,0
Indexes.stubs.lookupDuration90PMs,1772304302265000000,1772304362247000000,0.0
Indexes.entries.lookups,1772304302265000000,1772304362247000000,0
Indexes.entries.lookupDurationMaxMs,1772304302265000000,1772304362247000000,0.0
Indexes.stubs.lookupDurationAvgMs,1772304302265000000,1772304362247000000,0.0
Indexes.entries.lookupDurationAvgMs,1772304302265000000,1772304362247000000,0.0
Indexes.stubs.lookupDurationMaxMs,1772304302265000000,1772304362247000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1772304302265000000,1772304362247000000,0.0
Indexes.allKeys.lookups,1772304302265000000,1772304362247000000,0
Indexing.writesQueuedMin,1772304302265000000,1772304362247000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1772304302265000000,1772304362247000000,0
Indexes.allKeys.lookupDuration90PMs,1772304302265000000,1772304362247000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1772304302265000000,1772304362247000000,0
MappedFileStorage.totalBytesMapped,1772304302265000000,1772304362247000000,198443008
MappedFileStorage.totalPagesMapped,1772304302265000000,1772304362247000000,15
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772304302265000000,1772304362247000000,41984000
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772304302265000000,1772304362247000000,0
DirectByteBufferAllocator.misses,1772304302265000000,1772304362247000000,0
DirectByteBufferAllocator.hits,1772304302265000000,1772304362247000000,0
DirectByteBufferAllocator.disposed,1772304302265000000,1772304362247000000,282
DirectByteBufferAllocator.reclaimed,1772304302265000000,1772304362247000000,45
FilePageCache.capacityInBytes,1772304302265000000,1772304362247000000,629145600
FilePageCache.pageHits,1772304302265000000,1772304362247000000,0
FilePageCache.uncachedFileAccess,1772304302265000000,1772304362247000000,0
FilePageCache.maxCacheSizeInBytes,1772304302265000000,1772304362247000000,290496512
FilePageCache.disposedBuffers,1772304302265000000,1772304362247000000,282
StreamlinedBlobStorage.recordsRelocated,1772304302265000000,1772304362247000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772304302265000000,1772304362247000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772304302265000000,1772304362247000000,0
MappedFileStorage.storages,1772304302265000000,1772304362247000000,14
FilePageCache.totalPageDisposalsUs,1772304302265000000,1772304362247000000,0
StorageLockContext.competingThreads.90P,1772304302265000000,1772304362247000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1772304302265000000,1772304362247000000,0
FilePageCache.totalPageLoadsUs,1772304302265000000,1772304362247000000,0
FilePageCache.pageLoads,1772304302265000000,1772304362247000000,0
StorageLockContext.competingThreads.avg,1772304302265000000,1772304362247000000,0.0
StreamlinedBlobStorage.recordsAllocated,1772304302265000000,1772304362247000000,0
StorageLockContext.competingThreads.max,1772304302265000000,1772304362247000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1772304302265000000,1772304362247000000,13970
FilePageCache.pageFastCacheHits,1772304302265000000,1772304362247000000,0
StreamlinedBlobStorage.recordsDeleted,1772304302265000000,1772304362247000000,0
FilePageCache.maxRegisteredFiles,1772304302265000000,1772304362247000000,449
FilePageCache.pageLoadsAboveSizeThreshold,1772304302265000000,1772304362247000000,0
WriteAction.executionsCount,1772304302265000000,1772304362247000000,0
NonBlockingReadAction.failedExecutionTimeUs,1772304302265000000,1772304362247000000,0
NonBlockingReadAction.failedExecutionsCount,1772304302265000000,1772304362247000000,0
ReadAction.executionsCount,1772304302265000000,1772304362247000000,13237
NonBlockingReadAction.finalizedExecutionTimeUs,1772304302265000000,1772304362247000000,15264
NonBlockingReadAction.finalizedExecutionsCount,1772304302265000000,1772304362247000000,2
cacheStateStorage.get.duration,1772304302265000000,1772304362247000000,0
cacheStateStorage.get.counter,1772304302265000000,1772304362247000000,0
cacheStateStorage.set.duration,1772304302265000000,1772304362247000000,2
cacheStateStorage.set.counter,1772304302265000000,1772304362247000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValue.total.get.count,1772304302265000000,1772304362247000000,5
workspaceModel.full.replace.project.model.ms,1772304302265000000,1772304362247000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772304302265000000,1772304362247000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772304302265000000,1772304362247000000,0
workspaceModel.initializing.ms,1772304302265000000,1772304362247000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772304302265000000,1772304362247000000,0
workspaceModel.loading.total.ms,1772304302265000000,1772304362247000000,0
workspaceModel.init.bridges.ms,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772304302265000000,1772304362247000000,0
workspaceModel.to.snapshot.ms,1772304302265000000,1772304362247000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772304302265000000,1772304362247000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValue.clear.count,1772304302265000000,1772304362247000000,0
workspaceModel.updates.ms,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1772304302265000000,1772304362247000000,0
workspaceModel.updates.count,1772304302265000000,1772304362247000000,0
workspaceModel.check.recursive.update.ms,1772304302265000000,1772304362247000000,0
workspaceModel.on.before.changed.ms,1772304302265000000,1772304362247000000,0
workspaceModel.loading.from.cache.ms,1772304302265000000,1772304362247000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772304302265000000,1772304362247000000,0
workspaceModel.updates.precise.ms,1772304302265000000,1772304362247000000,0
