# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1772304484214000000,1772304544300000000,4715692
DiskQueryRelay.taskExecutionTotalTimeUs,1772304484214000000,1772304544300000000,3745611
lexer.XML.time.ns,1772304484214000000,1772304544300000000,1023624
parser.JAVA.time.ns,1772304484214000000,1772304544300000000,3739581778
writeAction.max.wait.ms,1772304484214000000,1772304544300000000,191
parser.JAVA.size.bytes,1772304484214000000,1772304544300000000,22563791
lexer.JAVA.time.ns,1772304484214000000,1772304544300000000,9328206
lexer.JAVA.size.bytes,1772304484214000000,1772304544300000000,22107441
writeAction.median.wait.ms,1772304484214000000,1772304544300000000,300
DiskQueryRelay.tasksRequested,1772304484214000000,1772304544300000000,10467
parser.XML.size.bytes,1772304484214000000,1772304544300000000,2512
writeAction.wait.ms,1772304484214000000,1772304544300000000,417
DiskQueryRelay.tasksExecuted,1772304484214000000,1772304544300000000,10260
writeAction.count,1772304484214000000,1772304544300000000,75
parser.XML.time.ns,1772304484214000000,1772304544300000000,8291834
lexer.XML.size.bytes,1772304484214000000,1772304544300000000,2512
NonBlockingReadAction.finalizedExecutionsCount,1772304484214000000,1772304544300000000,506
NonBlockingReadAction.failedExecutionsCount,1772304484214000000,1772304544300000000,33
NonBlockingReadAction.failedExecutionTimeUs,1772304484214000000,1772304544300000000,1381443
WriteAction.executionsCount,1772304484214000000,1772304544300000000,75
ReadAction.executionsCount,1772304484214000000,1772304544300000000,382308
NonBlockingReadAction.finalizedExecutionTimeUs,1772304484214000000,1772304544300000000,2065820
VFS.contentStorage.recordsStored,1772304484214000000,1772304544300000000,0
VFS.contentStorage.recordsReadSize,1772304484214000000,1772304544300000000,7140197
FileNameCache.totalMisses,1772304484214000000,1772304544300000000,203584
VFS.folderCaseSensitivityReads,1772304484214000000,1772304544300000000,5
VFS.invertedFileNameIndex.requests,1772304484214000000,1772304544300000000,39
VFS.fileByIdCache.hits,1772304484214000000,1772304544300000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772304484214000000,1772304544300000000,235734
VFS.contentStorage.recordsStoredSize,1772304484214000000,1772304544300000000,0
VFS.contentStorage.recordsStoredCompressed,1772304484214000000,1772304544300000000,0
VFS.fileChildByName,1772304484214000000,1772304544300000000,221830
FileNameCache.queries,1772304484214000000,1772304544300000000,3570112
VFS.contentStorage.recordsUncompressedSize,1772304484214000000,1772304544300000000,0
VFS.contentStorage.recordsReadDecompressed,1772304484214000000,1772304544300000000,62
VFS.fileByIdCache.misses,1772304484214000000,1772304544300000000,863807
VFS.contentStorage.recordsDeduplicated,1772304484214000000,1772304544300000000,17
VFS.contentStorage.recordsRead,1772304484214000000,1772304544300000000,335
cacheStateStorage.set.counter,1772304484214000000,1772304544300000000,3
cacheStateStorage.get.counter,1772304484214000000,1772304544300000000,64
cacheStateStorage.set.duration,1772304484214000000,1772304544300000000,8
cacheStateStorage.get.duration,1772304484214000000,1772304544300000000,451
