# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.cache.totalCacheEvicted,1772370514521000000,1772370574537000000,18019
Indexes.entries.lookupDurationMaxMs,1772370514521000000,1772370574537000000,0.0
Indexes.stubs.lookupDurationAvgMs,1772370514521000000,1772370574537000000,0.0
Indexing.cache.totalCacheMisses,1772370514521000000,1772370574537000000,21084
Indexes.allKeys.lookupDurationMaxMs,1772370514521000000,1772370574537000000,0.0
Indexing.totalTimeIndexersSleptMs,1772370514521000000,1772370574537000000,0
Indexes.entries.lookupDurationAvgMs,1772370514521000000,1772370574537000000,0.0
Indexes.entries.lookups,1772370514521000000,1772370574537000000,7727
Indexing.writer_0.totalTimeSpentWritingMs,1772370514521000000,1772370574537000000,0
Indexes.entries.lookupDuration90PMs,1772370514521000000,1772370574537000000,0.0
Indexing.cache.totalCacheAccesses,1772370514521000000,1772370574537000000,73550
Indexing.writer_2.totalTimeSpentWritingMs,1772370514521000000,1772370574537000000,0
Indexes.stubs.lookupDuration90PMs,1772370514521000000,1772370574537000000,0.0
Indexing.writesQueuedMin,1772370514521000000,1772370574537000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1772370514521000000,1772370574537000000,0
Indexes.allKeys.lookupDurationAvgMs,1772370514521000000,1772370574537000000,0.0
Indexing.writesQueuedMax,1772370514521000000,1772370574537000000,0
Indexes.allKeys.lookups,1772370514521000000,1772370574537000000,3
Indexes.stubs.lookups,1772370514521000000,1772370574537000000,54757
Indexes.allKeys.lookupDuration90PMs,1772370514521000000,1772370574537000000,0.0
Indexes.stubs.lookupDurationMaxMs,1772370514521000000,1772370574537000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1772370514521000000,1772370574537000000,0
cacheStateStorage.get.counter,1772370514521000000,1772370574537000000,50
cacheStateStorage.set.duration,1772370514521000000,1772370574537000000,10
cacheStateStorage.set.counter,1772370514521000000,1772370574537000000,3
cacheStateStorage.get.duration,1772370514521000000,1772370574537000000,360
workspaceModel.updates.precise.ms,1772370514521000000,1772370574537000000,44
workspaceModel.cachedValue.from.cache.count,1772370514521000000,1772370574537000000,14996
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772370514521000000,1772370574537000000,0
workspaceModel.pre.handlers.ms,1772370514521000000,1772370574537000000,1
workspaceModel.init.bridges.ms,1772370514521000000,1772370574537000000,25
workspaceModel.collect.changes.ms,1772370514521000000,1772370574537000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772370514521000000,1772370574537000000,279
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772370514521000000,1772370574537000000,152
workspaceModel.workspaceFileIndexData.instances.count,1772370514521000000,1772370574537000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1772370514521000000,1772370574537000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772370514521000000,1772370574537000000,152
workspaceModel.cachedValueWithParameters.total.get.count,1772370514521000000,1772370574537000000,0
workspaceModel.replace.project.model.ms,1772370514521000000,1772370574537000000,0
workspaceModel.update.unloaded.entities.ms,1772370514521000000,1772370574537000000,0
workspaceModel.on.before.changed.ms,1772370514521000000,1772370574537000000,18
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772370514521000000,1772370574537000000,0
workspaceModel.cachedValue.total.get.count,1772370514521000000,1772370574537000000,15876
workspaceModel.on.changed.ms,1772370514521000000,1772370574537000000,22
workspaceModel.workspaceFileIndexData.init.ms,1772370514521000000,1772370574537000000,78
workspaceModel.updates.count,1772370514521000000,1772370574537000000,11
workspaceModel.check.recursive.update.ms,1772370514521000000,1772370574537000000,0
workspaceModel.initializing.ms,1772370514521000000,1772370574537000000,24
workspaceModel.loading.from.cache.ms,1772370514521000000,1772370574537000000,329
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772370514521000000,1772370574537000000,0
workspaceModel.loading.total.ms,1772370514521000000,1772370574537000000,336
workspaceModel.cachedValue.clear.count,1772370514521000000,1772370574537000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772370514521000000,1772370574537000000,0
workspaceModel.cachedValue.calculated.count,1772370514521000000,1772370574537000000,880
workspaceModel.updates.ms,1772370514521000000,1772370574537000000,104
workspaceModel.cachedValueWithParameters.clear.count,1772370514521000000,1772370574537000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772370514521000000,1772370574537000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1772370514521000000,1772370574537000000,32
workspaceModel.to.snapshot.ms,1772370514521000000,1772370574537000000,0
workspaceModel.full.replace.project.model.ms,1772370514521000000,1772370574537000000,7
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772370514521000000,1772370574537000000,3497
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772370514521000000,1772370574537000000,58
DiskQueryRelay.tasksExecuted,1772370514521000000,1772370574537000000,10046
parser.JAVA.time.ns,1772370514521000000,1772370574537000000,3067409994
writeAction.count,1772370514521000000,1772370574537000000,45
DiskQueryRelay.taskExecutionTotalTimeUs,1772370514521000000,1772370574537000000,3655733
DiskQueryRelay.taskWaitingTotalTimeUs,1772370514521000000,1772370574537000000,4633341
lexer.XML.size.bytes,1772370514521000000,1772370574537000000,1707
writeAction.median.wait.ms,1772370514521000000,1772370574537000000,300
writeAction.wait.ms,1772370514521000000,1772370574537000000,365
parser.XML.time.ns,1772370514521000000,1772370574537000000,6522749
parser.JAVA.size.bytes,1772370514521000000,1772370574537000000,22578476
lexer.JAVA.time.ns,1772370514521000000,1772370574537000000,7940468
parser.XML.size.bytes,1772370514521000000,1772370574537000000,1707
lexer.XML.time.ns,1772370514521000000,1772370574537000000,528376
writeAction.max.wait.ms,1772370514521000000,1772370574537000000,115
DiskQueryRelay.tasksRequested,1772370514521000000,1772370574537000000,10240
lexer.JAVA.size.bytes,1772370514521000000,1772370574537000000,22104176
ReadAction.executionsCount,1772370514521000000,1772370574537000000,339369
NonBlockingReadAction.failedExecutionTimeUs,1772370514521000000,1772370574537000000,1638616
NonBlockingReadAction.finalizedExecutionTimeUs,1772370514521000000,1772370574537000000,2150112
NonBlockingReadAction.finalizedExecutionsCount,1772370514521000000,1772370574537000000,273
WriteAction.executionsCount,1772370514521000000,1772370574537000000,45
NonBlockingReadAction.failedExecutionsCount,1772370514521000000,1772370574537000000,11
MEM.ramMinusFileMappingsBytes,1772370514521000000,1772370574537000000,1661763584
MEM.ramPlusSwapMinusFileMappingsBytes,1772370514521000000,1772370574537000000,2251340032
JVM.usedHeapBytes,1772370514521000000,1772370574537000000,544689104
JVM.totalTimeAtSafepointsMs,1772370514521000000,1772370574537000000,420
JVM.usedNativeBytes,1772370514521000000,1772370574537000000,614382952
MEM.fileMappingsRamBytes,1772370514521000000,1772370574537000000,611467264
JVM.maxThreadCount,1772370514521000000,1772370574537000000,172
JVM.totalTimeToSafepointsMs,1772370514521000000,1772370574537000000,143
JVM.maxHeapBytes,1772370514521000000,1772370574537000000,2147483648
OS.loadAverage,1772370514521000000,1772370574537000000,4.21533203125
JVM.GC.collectionTimesMs,1772370514521000000,1772370574537000000,386
JVM.totalBytesAllocated,1772370514521000000,1772370574537000000,5021204816
JVM.GC.collections,1772370514521000000,1772370574537000000,47
JVM.threadCount,1772370514521000000,1772370574537000000,171
JVM.totalDirectByteBuffersBytes,1772370514521000000,1772370574537000000,322859669
JVM.totalSafepointCount,1772370514521000000,1772370574537000000,762
JVM.totalCpuTimeMs,1772370514521000000,1772370574537000000,82645
JVM.committedHeapBytes,1772370514521000000,1772370574537000000,801112064
JVM.newThreadsCount,1772370514521000000,1772370574537000000,186
MEM.ramBytes,1772370514521000000,1772370574537000000,2279833600
workspaceModel.delayed.project.synchronizer.sync.ms,1772370514521000000,1772370574537000000,99
jps.global.get.library.by.name.ms,1772370514521000000,1772370574537000000,0
jps.module.iml.entities.serializer.load.entities.ms,1772370514521000000,1772370574537000000,121
workspaceModel.global.updates.count,1772370514521000000,1772370574537000000,1
jps.library.entities.serializer.load.entities.ms,1772370514521000000,1772370574537000000,11
workspaceModel.global.apply.state.to.project.ms,1772370514521000000,1772370574537000000,10
workspaceModel.moduleBridge.facet.initialization.ms,1772370514521000000,1772370574537000000,54
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772370514521000000,1772370574537000000,0
jps.facet.change.listener.init.bridge.ms,1772370514521000000,1772370574537000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1772370514521000000,1772370574537000000,1
workspaceModel.load.cache.from.file.ms,1772370514521000000,1772370574537000000,333
workspaceModel.global.apply.state.to.project.builder.ms,1772370514521000000,1772370574537000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772370514521000000,1772370574537000000,71
workspaceModel.load.cache.metadata.from.file.ms,1772370514521000000,1772370574537000000,30
workspaceModel.do.save.caches.ms,1772370514521000000,1772370574537000000,206
jps.global.initialize.library.bridges.after.loading.ms,1772370514521000000,1772370574537000000,0
jps.save.global.entities.ms,1772370514521000000,1772370574537000000,0
jps.global.handle.before.change.events.ms,1772370514521000000,1772370574537000000,0
jps.facet.change.listener.process.change.events.ms,1772370514521000000,1772370574537000000,1
jps.save.changed.project.entities.ms,1772370514521000000,1772370574537000000,0
jps.artifact.entities.serializer.save.entities.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772370514521000000,1772370574537000000,1
jps.load.initial.state.ms,1772370514521000000,1772370574537000000,9
jps.global.get.library.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772370514521000000,1772370574537000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772370514521000000,1772370574537000000,1
jps.project.serializers.load.ms,1772370514521000000,1772370574537000000,45
workspaceModel.mutableEntityStorage.entities.ms,1772370514521000000,1772370574537000000,0
jps.project.serializers.save.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772370514521000000,1772370574537000000,1
workspaceModel.orphan.listener.update.ms,1772370514521000000,1772370574537000000,1
workspaceModel.global.updates.ms,1772370514521000000,1772370574537000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.instances.count,1772370514521000000,1772370574537000000,64
workspaceModel.mutableEntityStorage.modify.entity.ms,1772370514521000000,1772370574537000000,10
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772370514521000000,1772370574537000000,220
jps.global.get.libraries.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772370514521000000,1772370574537000000,0
jps.global.handle.changed.events.ms,1772370514521000000,1772370574537000000,0
jps.facet.change.listener.before.change.events.ms,1772370514521000000,1772370574537000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772370514521000000,1772370574537000000,0
jps.library.entities.serializer.save.entities.ms,1772370514521000000,1772370574537000000,0
jps.load.project.to.empty.storage.ms,1772370514521000000,1772370574537000000,71
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772370514521000000,1772370574537000000,1
jps.apply.loaded.storage.ms,1772370514521000000,1772370574537000000,26
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772370514521000000,1772370574537000000,11
workspaceModel.mutableEntityStorage.add.entity.ms,1772370514521000000,1772370574537000000,23
workspaceModel.mutableEntityStorage.referrers.ms,1772370514521000000,1772370574537000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772370514521000000,1772370574537000000,23
jps.reload.project.entities.ms,1772370514521000000,1772370574537000000,0
workspaceModel.save.cache.to.file.ms,1772370514521000000,1772370574537000000,195
workspaceModel.mutableEntityStorage.remove.entity.ms,1772370514521000000,1772370574537000000,0
jps.artifact.entities.serializer.load.entities.ms,1772370514521000000,1772370574537000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1772370514521000000,1772370574537000000,0
workspaceModel.sync.entities.ms,1772370514521000000,1772370574537000000,0
jps.global.initialize.library.bridges.ms,1772370514521000000,1772370574537000000,22
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleBridge.update.option.ms,1772370514521000000,1772370574537000000,0
workspaceModel.moduleBridge.before.changed.ms,1772370514521000000,1772370574537000000,0
jps.storage.jps.conf.reader.load.component.ms,1772370514521000000,1772370574537000000,7
workspaceModel.mutableEntityStorage.put.entity.ms,1772370514521000000,1772370574537000000,4
jps.app.storage.content.reader.load.component.ms,1772370514521000000,1772370574537000000,5
FileNameCache.totalMisses,1772370514521000000,1772370574537000000,214912
VFS.contentStorage.recordsReadSize,1772370514521000000,1772370574537000000,6490502
VFS.contentStorage.recordsDeduplicated,1772370514521000000,1772370574537000000,0
VFS.folderCaseSensitivityReads,1772370514521000000,1772370574537000000,0
VFS.contentStorage.recordsRead,1772370514521000000,1772370574537000000,235
VFS.contentStorage.recordsStored,1772370514521000000,1772370574537000000,0
VFS.fileByIdCache.hits,1772370514521000000,1772370574537000000,0
VFS.invertedFileNameIndex.requests,1772370514521000000,1772370574537000000,23
FileNameCache.queries,1772370514521000000,1772370574537000000,3529152
VFS.fileChildByName,1772370514521000000,1772370574537000000,160566
VFS.contentStorage.recordsDecompressionTimeUs,1772370514521000000,1772370574537000000,144540
VFS.contentStorage.recordsStoredSize,1772370514521000000,1772370574537000000,0
VFS.fileByIdCache.misses,1772370514521000000,1772370574537000000,719478
VFS.contentStorage.recordsReadDecompressed,1772370514521000000,1772370574537000000,52
VFS.contentStorage.recordsUncompressedSize,1772370514521000000,1772370574537000000,0
VFS.contentStorage.recordsStoredCompressed,1772370514521000000,1772370574537000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772370514521000000,1772370574537000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772370514521000000,1772370574537000000,0
