# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDurationMaxMs,1772370951283000000,1772371011376000000,0.0
Indexing.totalTimeIndexersSleptMs,1772370951283000000,1772371011376000000,0
Indexes.entries.lookupDurationMaxMs,1772370951283000000,1772371011376000000,0.0
Indexes.allKeys.lookups,1772370951283000000,1772371011376000000,2
Indexes.entries.lookupDurationAvgMs,1772370951283000000,1772371011376000000,0.0
Indexing.writesQueuedMin,1772370951283000000,1772371011376000000,9223372036854775807
Indexing.cache.totalCacheAccesses,1772370951283000000,1772371011376000000,26326
Indexes.allKeys.lookupDuration90PMs,1772370951283000000,1772371011376000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1772370951283000000,1772371011376000000,0
Indexes.allKeys.lookupDurationMaxMs,1772370951283000000,1772371011376000000,0.0
Indexing.writesQueuedMax,1772370951283000000,1772371011376000000,0
Indexes.stubs.lookupDurationAvgMs,1772370951283000000,1772371011376000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1772370951283000000,1772371011376000000,0.0
Indexing.cache.totalCacheMisses,1772370951283000000,1772371011376000000,5564
Indexing.writer_1.totalTimeSpentWritingMs,1772370951283000000,1772371011376000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1772370951283000000,1772371011376000000,0
Indexes.stubs.lookups,1772370951283000000,1772371011376000000,18829
Indexes.entries.lookupDuration90PMs,1772370951283000000,1772371011376000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1772370951283000000,1772371011376000000,0
Indexes.stubs.lookupDuration90PMs,1772370951283000000,1772371011376000000,0.0
Indexes.entries.lookups,1772370951283000000,1772371011376000000,5418
Indexing.cache.totalCacheEvicted,1772370951283000000,1772371011376000000,5564
compiler.ArtifactManagerBridge.findArtifact.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.commit.ms,1772370951283000000,1772371011376000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772370951283000000,1772371011376000000,0
VFS.contentStorage.recordsUncompressedSize,1772370951283000000,1772371011376000000,0
VFS.contentStorage.recordsStoredSize,1772370951283000000,1772371011376000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772370951283000000,1772371011376000000,66816
VFS.fileByIdCache.hits,1772370951283000000,1772371011376000000,0
VFS.contentStorage.recordsStoredCompressed,1772370951283000000,1772371011376000000,0
FileNameCache.queries,1772370951283000000,1772371011376000000,564096
VFS.contentStorage.recordsStored,1772370951283000000,1772371011376000000,0
VFS.invertedFileNameIndex.requests,1772370951283000000,1772371011376000000,6
VFS.fileChildByName,1772370951283000000,1772371011376000000,99205
VFS.fileByIdCache.misses,1772370951283000000,1772371011376000000,749700
VFS.contentStorage.recordsReadDecompressed,1772370951283000000,1772371011376000000,39
VFS.contentStorage.recordsRead,1772370951283000000,1772371011376000000,236
VFS.contentStorage.recordsDeduplicated,1772370951283000000,1772371011376000000,0
FileNameCache.totalMisses,1772370951283000000,1772371011376000000,12480
VFS.folderCaseSensitivityReads,1772370951283000000,1772371011376000000,0
VFS.contentStorage.recordsReadSize,1772370951283000000,1772371011376000000,3880000
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772370951283000000,1772371011376000000,11
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1772370951283000000,1772371011376000000,43
workspaceModel.delayed.project.synchronizer.sync.ms,1772370951283000000,1772371011376000000,91
jps.storage.jps.conf.reader.load.component.ms,1772370951283000000,1772371011376000000,6
workspaceModel.mutableEntityStorage.remove.entity.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772370951283000000,1772371011376000000,1
jps.global.initialize.library.bridges.ms,1772370951283000000,1772371011376000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1772370951283000000,1772371011376000000,1
jps.library.entities.serializer.save.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772370951283000000,1772371011376000000,31
workspaceModel.mutableEntityStorage.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1772370951283000000,1772371011376000000,0
jps.project.serializers.save.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772370951283000000,1772371011376000000,21
jps.module.iml.entities.serializer.save.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772370951283000000,1772371011376000000,130
jps.load.initial.state.ms,1772370951283000000,1772371011376000000,16
workspaceModel.moduleBridge.update.option.ms,1772370951283000000,1772371011376000000,0
jps.save.global.entities.ms,1772370951283000000,1772371011376000000,0
jps.global.handle.before.change.events.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772370951283000000,1772371011376000000,1
workspaceModel.mutableEntityStorage.instances.count,1772370951283000000,1772371011376000000,60
workspaceModel.load.cache.from.file.ms,1772370951283000000,1772371011376000000,222
jps.artifact.entities.serializer.load.entities.ms,1772370951283000000,1772371011376000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772370951283000000,1772371011376000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1772370951283000000,1772371011376000000,11
jps.module.iml.entities.serializer.load.entities.ms,1772370951283000000,1772371011376000000,106
jps.artifact.entities.serializer.save.entities.ms,1772370951283000000,1772371011376000000,0
jps.library.entities.serializer.load.entities.ms,1772370951283000000,1772371011376000000,8
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1772370951283000000,1772371011376000000,0
workspaceModel.sync.entities.ms,1772370951283000000,1772371011376000000,0
jps.global.get.library.ms,1772370951283000000,1772371011376000000,0
jps.global.handle.changed.events.ms,1772370951283000000,1772371011376000000,0
jps.save.changed.project.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1772370951283000000,1772371011376000000,1
workspaceModel.do.save.caches.ms,1772370951283000000,1772371011376000000,106
jps.global.get.libraries.ms,1772370951283000000,1772371011376000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772370951283000000,1772371011376000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772370951283000000,1772371011376000000,1
workspaceModel.global.apply.state.to.project.ms,1772370951283000000,1772371011376000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1772370951283000000,1772371011376000000,52
jps.facet.change.listener.process.change.events.ms,1772370951283000000,1772371011376000000,1
jps.global.get.library.by.name.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772370951283000000,1772371011376000000,7
jps.app.storage.content.reader.load.component.ms,1772370951283000000,1772371011376000000,6
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772370951283000000,1772371011376000000,0
workspaceModel.global.updates.ms,1772370951283000000,1772371011376000000,5
workspaceModel.global.updates.count,1772370951283000000,1772371011376000000,1
workspaceModel.moduleBridge.before.changed.ms,1772370951283000000,1772371011376000000,0
jps.apply.loaded.storage.ms,1772370951283000000,1772371011376000000,25
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772370951283000000,1772371011376000000,1
jps.reload.project.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772370951283000000,1772371011376000000,31
jps.project.serializers.load.ms,1772370951283000000,1772371011376000000,42
jps.facet.change.listener.before.change.events.ms,1772370951283000000,1772371011376000000,0
workspaceModel.save.cache.to.file.ms,1772370951283000000,1772371011376000000,117
jps.global.initialize.library.bridges.after.loading.ms,1772370951283000000,1772371011376000000,0
jps.load.project.to.empty.storage.ms,1772370951283000000,1772371011376000000,64
workspaceModel.orphan.listener.update.ms,1772370951283000000,1772371011376000000,2
jps.facet.change.listener.init.bridge.ms,1772370951283000000,1772371011376000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772370951283000000,1772371011376000000,0
cacheStateStorage.get.duration,1772370951283000000,1772371011376000000,301
cacheStateStorage.set.duration,1772370951283000000,1772371011376000000,6
cacheStateStorage.get.counter,1772370951283000000,1772371011376000000,48
cacheStateStorage.set.counter,1772370951283000000,1772371011376000000,3
NonBlockingReadAction.failedExecutionTimeUs,1772370951283000000,1772371011376000000,21364
NonBlockingReadAction.finalizedExecutionsCount,1772370951283000000,1772371011376000000,68
WriteAction.executionsCount,1772370951283000000,1772371011376000000,37
ReadAction.executionsCount,1772370951283000000,1772371011376000000,35503
NonBlockingReadAction.finalizedExecutionTimeUs,1772370951283000000,1772371011376000000,1103325
NonBlockingReadAction.failedExecutionsCount,1772370951283000000,1772371011376000000,3
workspaceModel.cachedValueWithParameters.total.get.count,1772370951283000000,1772371011376000000,0
workspaceModel.to.snapshot.ms,1772370951283000000,1772371011376000000,0
workspaceModel.cachedValue.clear.count,1772370951283000000,1772371011376000000,0
workspaceModel.cachedValue.total.get.count,1772370951283000000,1772371011376000000,13166
workspaceModel.loading.total.ms,1772370951283000000,1772371011376000000,136
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772370951283000000,1772371011376000000,0
workspaceModel.updates.precise.ms,1772370951283000000,1772371011376000000,41
workspaceModel.update.unloaded.entities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772370951283000000,1772371011376000000,104
workspaceModel.init.bridges.ms,1772370951283000000,1772371011376000000,5
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772370951283000000,1772371011376000000,159
workspaceModel.workspaceFileIndexData.markDirty.ms,1772370951283000000,1772371011376000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1772370951283000000,1772371011376000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772370951283000000,1772371011376000000,36
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772370951283000000,1772371011376000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772370951283000000,1772371011376000000,0
workspaceModel.on.before.changed.ms,1772370951283000000,1772371011376000000,30
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772370951283000000,1772371011376000000,2025
workspaceModel.check.recursive.update.ms,1772370951283000000,1772371011376000000,1
workspaceModel.pre.handlers.ms,1772370951283000000,1772371011376000000,3
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772370951283000000,1772371011376000000,39
workspaceModel.cachedValue.from.cache.count,1772370951283000000,1772371011376000000,12641
workspaceModel.updates.count,1772370951283000000,1772371011376000000,10
workspaceModel.initializing.ms,1772370951283000000,1772371011376000000,4
workspaceModel.entityStorageSnapshotImpl.instances.count,1772370951283000000,1772371011376000000,29
workspaceModel.cachedValueWithParameters.clear.count,1772370951283000000,1772371011376000000,0
workspaceModel.workspaceFileIndexData.instances.count,1772370951283000000,1772371011376000000,1
workspaceModel.replace.project.model.ms,1772370951283000000,1772371011376000000,0
workspaceModel.on.changed.ms,1772370951283000000,1772371011376000000,20
workspaceModel.full.replace.project.model.ms,1772370951283000000,1772371011376000000,9
workspaceModel.collect.changes.ms,1772370951283000000,1772371011376000000,0
workspaceModel.loading.from.cache.ms,1772370951283000000,1772371011376000000,130
workspaceModel.updates.ms,1772370951283000000,1772371011376000000,91
workspaceModel.cachedValueWithParameters.from.cache.count,1772370951283000000,1772371011376000000,0
workspaceModel.workspaceFileIndexData.init.ms,1772370951283000000,1772371011376000000,81
workspaceModel.cachedValue.calculated.count,1772370951283000000,1772371011376000000,525
JVM.totalTimeAtSafepointsMs,1772370951283000000,1772371011376000000,547
JVM.totalSafepointCount,1772370951283000000,1772371011376000000,557
JVM.usedHeapBytes,1772370951283000000,1772371011376000000,458591176
MEM.ramPlusSwapMinusFileMappingsBytes,1772370951283000000,1772371011376000000,2022619136
JVM.GC.collectionTimesMs,1772370951283000000,1772371011376000000,522
MEM.fileMappingsRamBytes,1772370951283000000,1772371011376000000,605503488
JVM.totalTimeToSafepointsMs,1772370951283000000,1772371011376000000,144
MEM.ramMinusFileMappingsBytes,1772370951283000000,1772371011376000000,1187315712
JVM.usedNativeBytes,1772370951283000000,1772371011376000000,581051808
JVM.newThreadsCount,1772370951283000000,1772371011376000000,224
JVM.maxThreadCount,1772370951283000000,1772371011376000000,163
JVM.totalBytesAllocated,1772370951283000000,1772371011376000000,3738144112
OS.loadAverage,1772370951283000000,1772371011376000000,2.8017578125
MEM.ramBytes,1772370951283000000,1772371011376000000,1794031616
JVM.GC.collections,1772370951283000000,1772371011376000000,48
JVM.committedHeapBytes,1772370951283000000,1772371011376000000,768606208
JVM.totalCpuTimeMs,1772370951283000000,1772371011376000000,66638
JVM.maxHeapBytes,1772370951283000000,1772371011376000000,2147483648
JVM.threadCount,1772370951283000000,1772371011376000000,162
JVM.totalDirectByteBuffersBytes,1772370951283000000,1772371011376000000,238519632
DiskQueryRelay.tasksExecuted,1772370951283000000,1772371011376000000,6047
parser.JAVA.size.bytes,1772370951283000000,1772371011376000000,18884669
writeAction.count,1772370951283000000,1772371011376000000,37
lexer.XML.time.ns,1772370951283000000,1772371011376000000,568792
lexer.XML.size.bytes,1772370951283000000,1772371011376000000,1707
writeAction.max.wait.ms,1772370951283000000,1772371011376000000,41
writeAction.wait.ms,1772370951283000000,1772371011376000000,111
lexer.JAVA.time.ns,1772370951283000000,1772371011376000000,7674985
parser.JAVA.time.ns,1772370951283000000,1772371011376000000,3144397491
DiskQueryRelay.tasksRequested,1772370951283000000,1772371011376000000,6215
DiskQueryRelay.taskExecutionTotalTimeUs,1772370951283000000,1772371011376000000,747341
lexer.JAVA.size.bytes,1772370951283000000,1772371011376000000,18438046
parser.XML.size.bytes,1772370951283000000,1772371011376000000,1707
writeAction.median.wait.ms,1772370951283000000,1772371011376000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1772370951283000000,1772371011376000000,1564046
parser.XML.time.ns,1772370951283000000,1772371011376000000,9418792
MappedFileStorage.totalBytesMapped,1772370951283000000,1772371011376000000,185860096
MappedFileStorage.totalTimeSpentOnMappingUs,1772370951283000000,1772371011376000000,29797
FilePageCache.pageLoads,1772370951283000000,1772371011376000000,227
DirectByteBufferAllocator.disposed,1772370951283000000,1772371011376000000,0
FilePageCache.pageFastCacheHits,1772370951283000000,1772371011376000000,11653
FilePageCache.uncachedFileAccess,1772370951283000000,1772371011376000000,128
FilePageCache.maxCacheSizeInBytes,1772370951283000000,1772371011376000000,230719488
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772370951283000000,1772371011376000000,0
StreamlinedBlobStorage.recordsDeleted,1772370951283000000,1772371011376000000,20
StorageLockContext.competingThreads.90P,1772370951283000000,1772371011376000000,0
StorageLockContext.competingThreads.avg,1772370951283000000,1772371011376000000,0.0
FilePageCache.pageHits,1772370951283000000,1772371011376000000,0
DirectByteBufferAllocator.reclaimed,1772370951283000000,1772371011376000000,3
DirectByteBufferAllocator.misses,1772370951283000000,1772371011376000000,224
StreamlinedBlobStorage.recordsAllocated,1772370951283000000,1772371011376000000,217388
FilePageCache.maxRegisteredFiles,1772370951283000000,1772371011376000000,449
StreamlinedBlobStorage.recordsRelocated,1772370951283000000,1772371011376000000,0
MappedFileStorage.storages,1772370951283000000,1772371011376000000,11
DirectByteBufferAllocator.hits,1772370951283000000,1772371011376000000,3
StorageLockContext.competingThreads.max,1772370951283000000,1772371011376000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772370951283000000,1772371011376000000,15590262
FileChannelInterruptsRetryer.totalRetriedAttempts,1772370951283000000,1772371011376000000,0
FilePageCache.capacityInBytes,1772370951283000000,1772371011376000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1772370951283000000,1772371011376000000,0
MappedFileStorage.totalPagesMapped,1772370951283000000,1772371011376000000,12
FilePageCache.totalPageLoadsUs,1772370951283000000,1772371011376000000,235682
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772370951283000000,1772371011376000000,230719488
FilePageCache.disposedBuffers,1772370951283000000,1772371011376000000,3
FilePageCache.totalPageDisposalsUs,1772370951283000000,1772371011376000000,866
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772370951283000000,1772371011376000000,3165265
Indexes.stubs.lookupDurationMaxMs,1772371011376000000,1772371019738000000,0.0
Indexing.totalTimeIndexersSleptMs,1772371011376000000,1772371019738000000,0
Indexes.entries.lookupDurationMaxMs,1772371011376000000,1772371019738000000,0.0
Indexes.allKeys.lookups,1772371011376000000,1772371019738000000,0
Indexes.entries.lookupDurationAvgMs,1772371011376000000,1772371019738000000,0.0
