# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.load.entities.ms,1772370924012000000,1772370947779000000,0
jps.global.get.library.by.name.ms,1772370924012000000,1772370947779000000,0
jps.global.initialize.library.bridges.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772370924012000000,1772370947779000000,6
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.instances.count,1772370924012000000,1772370947779000000,3
workspaceModel.save.cache.to.file.ms,1772370924012000000,1772370947779000000,34
workspaceModel.mutableEntityStorage.resolve.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772370924012000000,1772370947779000000,1
workspaceModel.load.cache.from.file.ms,1772370924012000000,1772370947779000000,92
jps.load.initial.state.ms,1772370924012000000,1772370947779000000,19
workspaceModel.global.apply.state.to.project.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1772370924012000000,1772370947779000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772370924012000000,1772370947779000000,0
jps.library.entities.serializer.save.entities.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772370924012000000,1772370947779000000,1
jps.global.get.library.ms,1772370924012000000,1772370947779000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772370924012000000,1772370947779000000,7
jps.global.get.libraries.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1772370924012000000,1772370947779000000,1
workspaceModel.mutableEntityStorage.entities.ms,1772370924012000000,1772370947779000000,0
jps.app.storage.content.reader.load.component.ms,1772370924012000000,1772370947779000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772370924012000000,1772370947779000000,0
jps.save.global.entities.ms,1772370924012000000,1772370947779000000,0
workspaceModel.global.updates.ms,1772370924012000000,1772370947779000000,8
workspaceModel.sync.entities.ms,1772370924012000000,1772370947779000000,0
workspaceModel.global.updates.count,1772370924012000000,1772370947779000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772370924012000000,1772370947779000000,0
jps.global.handle.before.change.events.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1772370924012000000,1772370947779000000,5
jps.global.initialize.library.bridges.after.loading.ms,1772370924012000000,1772370947779000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1772370924012000000,1772370947779000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772370924012000000,1772370947779000000,0
jps.global.handle.changed.events.ms,1772370924012000000,1772370947779000000,0
Indexing.cache.totalCacheMisses,1772370924012000000,1772370947779000000,0
Indexing.writesQueuedMax,1772370924012000000,1772370947779000000,0
Indexing.cache.totalCacheEvicted,1772370924012000000,1772370947779000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1772370924012000000,1772370947779000000,0
Indexing.cache.totalCacheAccesses,1772370924012000000,1772370947779000000,0
Indexing.writesQueuedMin,1772370924012000000,1772370947779000000,0
Indexing.writesQueuedAvg,1772370924012000000,1772370947779000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1772370924012000000,1772370947779000000,0
Indexing.totalTimeIndexersSleptMs,1772370924012000000,1772370947779000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1772370924012000000,1772370947779000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1772370924012000000,1772370947779000000,0
cacheStateStorage.set.duration,1772370924012000000,1772370947779000000,0
cacheStateStorage.get.duration,1772370924012000000,1772370947779000000,292
cacheStateStorage.set.counter,1772370924012000000,1772370947779000000,0
cacheStateStorage.get.counter,1772370924012000000,1772370947779000000,1
VFS.invertedFileNameIndex.requests,1772370924012000000,1772370947779000000,0
VFS.fileByIdCache.hits,1772370924012000000,1772370947779000000,0
VFS.fileByIdCache.misses,1772370924012000000,1772370947779000000,0
VFS.folderCaseSensitivityReads,1772370924012000000,1772370947779000000,0
VFS.fileChildByName,1772370924012000000,1772370947779000000,75
